Nasdaq Traded,Symbol,Company Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Symbol_Clean,Sector,source,confidence
Y,QBAK,Qualstar Corporation - Common Stock,Q,S,N,100.0,N,N,,QBAK,N,QBAK,Technology,Groq-Success,100.0
Y,QCOM,QUALCOMM Incorporated - Common Stock,Q,Q,N,100.0,N,N,,QCOM,N,QCOM,Technology,Nasdaq,100.0
Y,QCRH,"QCR Holdings, Inc. - Common Stock",Q,G,N,100.0,N,N,,QCRH,N,QCRH,Finance,Nasdaq,100.0
Y,QD,"Qudian Inc. American Depositary Shares, each representing one Class A Ordinary Share",N, ,N,100.0,N,,QD,QD,N,QD,Finance,Nasdaq,100.0
Y,QDEL,Quidel Corporation - Common Stock,Q,Q,N,100.0,N,N,,QDEL,N,QDEL,Health Care,Nasdaq,100.0
Y,QEP,"QEP Resources, Inc. Common Stock",N, ,N,100.0,N,,QEP,QEP,N,QEP,Energy,Wikipedia-High,250.0
Y,QES,Quintana Energy Services Inc. Common Stock,N, ,N,100.0,N,,QES,QES,N,QES,Energy,Name-Match,60.0
Y,QHC,Quorum Health Corporation Common Stock ,N, ,N,100.0,N,,QHC,QHC,N,QHC,Healthcare,Name-Match,24.0
Y,QIWI,QIWI plc - American Depositary Shares,Q,Q,N,100.0,N,N,,QIWI,N,QIWI,Technology,AnnualReports-Success,36.0
Y,QK,Q&K International Group Limited - American Depositary Shares,Q,G,N,100.0,N,N,,QK,N,QK,Technology,Wikipedia-High,166.5
Y,QLYS,"Qualys, Inc. - Common Stock",Q,Q,N,100.0,N,N,,QLYS,N,QLYS,Technology,Nasdaq,100.0
Y,QMCO,Quantum Corporation - Common Stock,Q,G,N,100.0,N,N,,QMCO,N,QMCO,Technology,Nasdaq,100.0
Y,QNST,"QuinStreet, Inc. - Common Stock",Q,Q,N,100.0,N,N,,QNST,N,QNST,Real Estate,Nasdaq,100.0
Y,QRHC,Quest Resource Holding Corporation - Common Stock,Q,S,N,100.0,N,N,,QRHC,N,QRHC,Utilities,Nasdaq,100.0
Y,QRTEA,"Qurate Retail, Inc. - Series A Common Stock",Q,Q,N,100.0,N,N,,QRTEA,N,QRTEA,Consumer Discretionary,Name-Match,60.0
Y,QRTEB,"Qurate Retail, Inc. - Series B Common Stock",Q,Q,N,100.0,N,N,,QRTEB,N,QRTEB,Consumer Discretionary,Name-Match,60.0
